text,candidate,outlet,published,weight,script,channel
"Prachanda criticizes government, demands Sunsari probe in House address",prachanda,Nepalnews.com,2026-07-30 02:13:35+00:00,0.3993,latin,news
Let us ease situation thru dialogue and understanding: Prachanda,prachanda,Nepal Khabar,2026-07-29 18:15:00+00:00,0.3864,latin,news
Let us ease situation through dialogue and understanding: NCP Coordinator Prachanda,prachanda,The Rising Nepal,2026-07-29 03:25:43+00:00,0.3635,latin,news
"Sunsari crisis demands political maturity, says Prachanda",prachanda,Khabarhub,2026-07-28 22:10:25+00:00,0.3557,latin,news
CPN (Maoist Centre) Coordinator Prachanda Criticizes Government's Lack of Progress on Solutions,prachanda,Ratopati,2026-07-28 22:03:10+00:00,0.457,latin,news
Prachanda calls for unity to revive Nepal’s communist movement,prachanda,Khabarhub,2026-07-25 04:18:25+00:00,0.2455,latin,news
Prachanda calls for unity in communist movement,prachanda,Nepalnews.com,2026-07-25 01:15:00+00:00,0.2424,latin,news
CPN Coordinator Prachanda States National Independence in Crisis,prachanda,Ratopati,2026-07-24 23:01:26+00:00,0.3088,latin,news
"Prachanda acknowledges past mistakes, calls for deep political review",prachanda,Nepalnews.com,2026-07-24 01:15:00+00:00,0.2195,latin,news
Progressive forces must unite to protect achievements of republic: Prachanda,prachanda,Nepalnews.com,2026-07-23 01:15:00+00:00,0.1988,latin,news
Prachanda says Nepal has made significant progress under federal democratic republic,prachanda,Khabarhub,2026-07-23 01:15:00+00:00,0.1988,latin,news
CPN (Maoist Centre) Chairman Prachanda Prioritizes Organizational Strengthening and Movement,prachanda,Ratopati,2026-07-22 04:27:50+00:00,0.2346,latin,news
Cooperation among progressive forces necessary to protect national independence: Prachanda,prachanda,Nepalnews.com,2026-07-22 01:15:00+00:00,0.1801,latin,news
Communist Party Coordinator Dahal Calls for Unity Amidst National Sovereignty Risks,prachanda,Ratopati,2026-07-22 01:15:00+00:00,0.2316,latin,news
Communist Party Coordinator Prachanda States New Parliament is Product of Martyrs' Sacrifice,prachanda,Ratopati,2026-07-21 07:29:55+00:00,0.2152,latin,news
Prachanda says cooperation with UML officially underway amid provincial power shift talks,prachanda,Nepalnews.com,2026-07-21 01:15:00+00:00,0.1631,latin,news
Oli and Prachanda discuss provincial government formation,prachanda,Nepalnews.com,2026-07-21 01:15:00+00:00,0.1631,latin,news
CPN Coordinator Pushpa Kamal Dahal Prachanda Announces Imminent Collaboration with UML,prachanda,Ratopati,2026-07-20 15:27:22+00:00,0.2014,latin,news
Prachanda meets Madhav Nepal as talks intensify over provincial government alliances,prachanda,Khabarhub,2026-07-20 01:15:00+00:00,0.1477,latin,news
Prachanda Engages in Political Dialogue Amidst Provincial Alliance Issues,prachanda,Ratopati,2026-07-20 01:15:00+00:00,0.19,latin,news
Prachanda outlines socialist framework at ‘Hands off Asia’ conference in Colombo,prachanda,Nepalnews.com,2026-07-17 01:15:00+00:00,0.1098,latin,news
Analysis: Provincial Power-Sharing Formula Likely to Be Decided Only After Prachanda’s Return,prachanda,ABC NEWS NEPAL,2026-07-16 19:32:31+00:00,0.1072,latin,news
Prachanda departs for Sri Lanka to attend Asian Dialogue,prachanda,Nepalnews.com,2026-07-15 01:15:00+00:00,0.0901,latin,news
Harka Sampang objects to Home Minister’s talks with ‘Hindu Samrat Sena’-like groups,harka sampang,Khabarhub,2026-08-04 03:05:46+00:00,0.6575,latin,news
Harka Sampang appeals for maintaining religious harmony,harka sampang,Khabarhub,2026-07-30 22:33:01+00:00,0.4342,latin,news
UML disciplines seven leaders in Bhojpur after Harka Sampang’s visit,harka sampang,Khabarhub,2026-07-25 01:15:00+00:00,0.2424,latin,news
Protest against Harka Sampang at Janaki Temple; security tightened,harka sampang,Nepalnews.com,2026-07-21 01:15:00+00:00,0.1631,latin,news
Harka Sampang condemns treatment of supporters after Janaki Temple dispute,harka sampang,Khabarhub,2026-07-21 01:15:00+00:00,0.1631,latin,news
Harka Sampang accuses govt of turning parliament into an unaccountable talking shop,harka sampang,Nepalnews.com,2026-07-19 06:50:36+00:00,0.1369,latin,news
Harka Sampang-led bridge project in Darchula incurs Rs 12.9 million in expenses,harka sampang,Khabarhub,2026-07-14 01:15:00+00:00,0.0816,latin,news
RSP chief Lamichhane’s lead helped government douse eastern Tarai flames without further losses,rabi lamichhane,The Kathmandu Post,2026-07-31 19:32:41+00:00,0.4735,latin,news
RSP Chief Lamichhane urges religious leaders to help end protests,rabi lamichhane,The Annapurna Express,2026-07-31 04:31:01+00:00,0.445,latin,news
RSP Chairman Lamichhane consults with religious leaders,rabi lamichhane,myRepublica,2026-07-31 04:05:00+00:00,0.4442,latin,news
Rabi Lamichhane Holds Discussions with Religious Leaders on Social Harmony,rabi lamichhane,Ratopati,2026-07-31 01:36:18+00:00,0.5654,latin,news
Lamichhane steps up dialogue to ease Madhesh tensions,rabi lamichhane,Khabarhub,2026-07-31 01:23:08+00:00,0.4393,latin,news
Rabi Lamichhane Expresses Dissatisfaction with Government's Response to Communal Unrest,rabi lamichhane,Ratopati,2026-07-30 16:49:06+00:00,0.5452,latin,news
Madhes-centric parties tell Rabi Lamichhane: ‘The government has become extremely insensitive and irresponsible regarding the situation that has arisen in Madhes’,rabi lamichhane,Ekantipur,2026-07-30 11:09:34+00:00,0.4143,latin,news
Rabi Lamichhane Urges Against Blame Amidst Communal Tensions,rabi lamichhane,Ratopati,2026-07-30 10:25:12+00:00,0.531,latin,news
Discussion between RSP President Lamichhane and leaders of Madhes-centric parties,rabi lamichhane,Ekantipur,2026-07-30 09:07:04+00:00,0.4108,latin,news
Rabi Lamichhane Directs MPs to Foster Harmony and Tolerance,rabi lamichhane,Ratopati,2026-07-30 08:27:48+00:00,0.5268,latin,news
Rabi Lamichhane directs RSP lawmakers to promote communal harmony in districts,rabi lamichhane,Khabarhub,2026-07-30 07:17:33+00:00,0.4077,latin,news
Rabi Lamichhane urges RSP MPs to return to districts and maintain public harmony,rabi lamichhane,Nepalnews.com,2026-07-30 06:53:46+00:00,0.4071,latin,news
RSP Chair Lamichhane holds talks with MPs from Koshi and Madhesh,rabi lamichhane,Khabarhub,2026-07-30 05:57:31+00:00,0.4055,latin,news
Rabi Lamichhane holds talks with Madhesh leaders on social harmony,rabi lamichhane,Khabarhub,2026-07-30 04:56:48+00:00,0.4038,latin,news
PM Shah faces scrutiny over response to Sunsari unrest as RSP Chair Lamichhane leads political outreach,rabi lamichhane,Khabarhub,2026-07-29 19:32:23+00:00,0.3884,latin,news
Rabi Lamichhane Directs Against Creating Factional Narratives Within Rastriya Swatantra Party,rabi lamichhane,Ratopati,2026-07-29 09:38:10+00:00,0.4794,latin,news
RSP President Rabi Lamichhane meets President Paudel,rabi lamichhane,Hamro Patro,2026-07-29 03:29:55+00:00,0.3635,latin,news
RSP Chairman Lamichhane meets President Paudel to discuss Sunsari clashes,rabi lamichhane,Nepalnews.com,2026-07-29 02:24:37+00:00,0.3619,latin,news
"President Paudel, RSP President Lamichhane discuss political situation, Sunsari incident",rabi lamichhane,myRepublica,2026-07-29 02:18:57+00:00,0.3618,latin,news
RSP president Lamichhane calls for national unity to maintain peace and harmony,rabi lamichhane,The Rising Nepal,2026-07-29 02:07:38+00:00,0.3615,latin,news
Rabi Lamichhane Meets President Ramchandra Paudel,rabi lamichhane,Khoj Samachar,2026-07-29 01:43:29+00:00,0.3609,latin,news
Rastriya Swatantra Party President Lamichhane meets President Paudel,rabi lamichhane,Ekantipur,2026-07-29 01:15:00+00:00,0.3602,latin,news
Rabi Lamichhane to visit Beijing only if meeting with Xi is assured,rabi lamichhane,Nepal Khabar,2026-07-29 01:15:00+00:00,0.3602,latin,news
Rabi Lamichhane Pays Tributes to Gopalman Shrestha,rabi lamichhane,Hamro Patro,2026-07-28 23:45:12+00:00,0.358,latin,news
Rabi Lamichhane Calls for Political Unity Amidst Social Discord,rabi lamichhane,Ratopati,2026-07-28 23:28:10+00:00,0.4597,latin,news
Ravi Lamichhane Clarifies All-Party Meeting Amidst PM and Home Minister Absence,rabi lamichhane,Ratopati,2026-07-28 23:18:10+00:00,0.4594,latin,news
All-Party Meeting Called by Rabi Lamichhane on Devanaganj Incident,rabi lamichhane,Ratopati,2026-07-28 20:58:10+00:00,0.455,latin,news
RSP President Lamichhane calls for all-party meeting,rabi lamichhane,myRepublica,2026-07-28 20:00:05+00:00,0.3525,latin,news
RSP Chairman Lamichhane convenes all-party meeting today over Sunsari violent clashes,rabi lamichhane,Nepalnews.com,2026-07-28 19:18:18+00:00,0.3515,latin,news
Rabi Lamichhane Calls All-Party Meeting on Devanaganj Incident,rabi lamichhane,Ratopati,2026-07-28 18:28:33+00:00,0.4503,latin,news
RSP Chair Lamichhane appeals to exercise restraint in critical time,rabi lamichhane,The Rising Nepal,2026-07-28 12:50:31+00:00,0.3422,latin,news
RSP President Rabi Lamichhane calls all-party meeting tomorrow,rabi lamichhane,The Annapurna Express,2026-07-28 12:37:49+00:00,0.3419,latin,news
RSP Chair Lamichhane calls for impartial probe into Sunsari violence,rabi lamichhane,myRepublica,2026-07-28 11:12:06+00:00,0.3399,latin,news
RSP Chair Rabi Lamichhane calls all-party meeting over Sunsari incident,rabi lamichhane,Khabarhub,2026-07-28 10:24:56+00:00,0.3388,latin,news
RSP Chairman Lamichhane summons all-party meeting over Sunsari violent clashes,rabi lamichhane,Nepalnews.com,2026-07-28 10:18:07+00:00,0.3386,latin,news
RSP Chair Lamichhane appeals to exercise restrain in critical time,rabi lamichhane,Hamro Patro,2026-07-28 09:27:03+00:00,0.3375,latin,news
MoFA ready to assist Rabi Lamichhane’s China visit; denies knowledge of PM advisor’s India trip,rabi lamichhane,Nepalnews.com,2026-07-24 01:15:00+00:00,0.2195,latin,news
Rabi Lamichhane to visit Beijing for high-level meetings,rabi lamichhane,Hamro Patro,2026-07-23 02:38:00+00:00,0.2,latin,news
Rabi Lamichhane to Visit China,rabi lamichhane,Ratopati,2026-07-23 01:15:00+00:00,0.2557,latin,news
RSP Chair Rabi Lamichhane to visit China for meetings with senior Chinese officials,rabi lamichhane,Khabarhub,2026-07-23 01:15:00+00:00,0.1988,latin,news
Government decisions creating ‘huge damage’ will be reversed overnight: Rabi Lamichhane,rabi lamichhane,Nepalnews.com,2026-07-18 01:15:00+00:00,0.1212,latin,news
"Harmful decisions can be changed, says Lamichhane",rabi lamichhane,The Kathmandu Post,2026-07-18 01:15:00+00:00,0.1212,latin,news
Rabi Lamichhane Urges Trust in Government's Intentions,rabi lamichhane,Ratopati,2026-07-18 01:15:00+00:00,0.1558,latin,news
Judge who granted Rabi Lamichhane bail recommended to head Special Court,rabi lamichhane,Nepalnews.com,2026-07-16 01:15:00+00:00,0.0994,latin,news
"Silence of PM Shah, RSP Chair Lamichhane draws scrutiny as squatter crisis deepens",rabi lamichhane,Khabarhub,2026-07-13 01:15:00+00:00,0.0739,latin,news
PM Shah and RSP Chair Lamichhane hold four-hour meeting amid internal and public pressure,rabi lamichhane,Nepalnews.com,2026-07-12 01:15:00+00:00,0.0669,latin,news
Rabi Lamichhane elected RSP President unopposed,rabi lamichhane,Nepal Khabar,2026-07-06 18:15:00+00:00,0.0396,latin,news
PM Modi congratulates Balendra Shah on taking oath as Nepal Prime Minister,balen,DD News,2026-08-02 14:09:32+00:00,0.5645,latin,news
Prime Minister Balendra Shah appeals for social harmony: Let us love and respect one another,balen,Ekantipur,2026-07-28 16:35:39+00:00,0.3475,latin,news
"Nepal PM Balen Shah's Toughest Tests Yet: Reform, Expectations And A Gen-Z Revolt",balen,News18,2026-07-14 01:15:00+00:00,0.0816,latin,news
Prime Minister Balen Shah set to establish ‘PM Delivery Unit’,balen,Khabarhub,2026-07-11 23:39:22+00:00,0.0665,latin,news
"Congress dissidents criticize Gagan Thapa, warn of new party if unity efforts fail",gagan thapa,Khabarhub,2026-07-22 01:15:00+00:00,0.1801,latin,news
Govt handling constitutional amendment in an immature manner: Gagan Thapa,gagan thapa,myRepublica,2026-07-10 00:09:02+00:00,0.0546,latin,news
Prachanda: Nepali Communist Party Prioritizes Movement Over Government,prachanda,Ratopati,2026-07-24 01:15:00+00:00,0.2822,latin,news
