text,candidate,outlet,published,weight,script,channel
"All-Party Meeting Held Over Sunsari Tension, PM Balen Shah Criticized",balen,Ratopati,2026-07-28 22:18:10+00:00,0.4575,latin,news
"PM Balen expresses grief over Sunsari incident, urges restraint",balen,Khabarhub,2026-07-28 18:40:17+00:00,0.3506,latin,news
Balen Shah’s First 100 Days: Nepal’s Political Honeymoon Faces Governance Test,balen,Daily Pioneer,2026-07-28 18:26:22+00:00,0.3502,latin,news
India invites Nepal PM Balen Shah for official visit,balen,The Indian Express,2026-07-28 09:26:27+00:00,0.3375,latin,news
India confirms invitation to Prime Minister Balen Shah for official visit,balen,Nepalnews.com,2026-07-28 07:05:55+00:00,0.3342,latin,news
India extends invitation to Prime Minister Balen Shah for official visit,balen,Khabarhub,2026-07-28 06:49:54+00:00,0.3339,latin,news
Prime Minister Balen Shah Defends Attorney General Appointment in Supreme Court Response,balen,Ratopati,2026-07-28 04:33:05+00:00,0.4252,latin,news
भारत चिन कुटनीतिको चेपुवामा बालेन सरकार ? - 24 TALK,balen,YouTube,2026-07-26 23:40:56+00:00,0.2936,mixed,news
Nepal PM accused of interfering in Supreme Court: Balen Shah allegedly pressuring 3 judges to resign; inter...,balen,Bhaskar English,2026-07-25 07:12:24+00:00,0.2484,latin,news
"Why Nepal PM Balendra Shah is meeting India, China ambassadors after 100 days in office",balen,The Indian Express,2026-07-23 12:30:07+00:00,0.2083,latin,news
Nepali PM Balendra Shah’s Image as a Change Agent is at Risk - The Diplomat – Asia-Pacific,balen,The Diplomat – Asia-Pacific,2026-07-23 01:15:00+00:00,0.1989,latin,news
"Balen Shah Breaks His Self Imposed Diplomatic Rule For India, China: Sources",balen,NDTV,2026-07-23 01:15:00+00:00,0.1989,latin,news
"Nepal PM Balen Shah changes diplomatic stance: To meet Indian, Chinese ambassadors separately after reversi...",balen,Bhaskar English,2026-07-22 21:55:59+00:00,0.1962,latin,news
Prime Minister Balen Shah Faces Questions in Parliament Amidst Controversy,balen,Ratopati,2026-07-22 01:26:56+00:00,0.2318,latin,news
"Balen ends envoy snub amid protests, to meet India & China ambassadors",balen,The Times of India,2026-07-22 01:15:00+00:00,0.1801,latin,news
Why Nepal PM Balen Shah Broke His Own Rule To Meet Indian Envoy Explained,balen,News18,2026-07-22 01:15:00+00:00,0.1801,latin,news
Why Nepal Keeps Changing Prime Ministers | Can Balen Shah Keep Gen Z on His Side? | Spotlight,balen,Firstpost,2026-07-22 01:15:00+00:00,0.1801,latin,news
"Balen Shah's diplomatic U-turn? Nepal PM to hold one-on-one meetings with India, China envoys",balen,WION,2026-07-22 01:15:00+00:00,0.1801,latin,news
"Nepal PM Balen Shah's big climbdown, will meet India and China envoys separately",balen,India Today,2026-07-22 01:15:00+00:00,0.1801,latin,news
Is all well in Balen Shah's Nepal? Why protests are testing his promise of change,balen,The Times of India,2026-07-21 01:15:00+00:00,0.1631,latin,news
Prime Minister Balen Shah to Hold First Collective Meeting with Chief Ministers,balen,Ratopati,2026-07-20 01:39:46+00:00,0.1903,latin,news
From Gen Z revolution to geopolitical reality: Prime Minister Balen Shah's first foreign policy test -Part II,balen,The Borderlens,2026-07-20 01:15:00+00:00,0.1477,latin,news
Durga Prasai Accuses PM Balen Shah of Demolishing Homes and Dreams,balen,Ratopati,2026-07-19 09:41:00+00:00,0.1781,latin,news
"Prime Minister Balen Shah Under Fire for Ignoring Parliament, Opposition Alleges Authoritarian Tendencies",balen,Ratopati,2026-07-18 05:57:23+00:00,0.1589,latin,news
Main Suspect in Theft at Balen Shah's Rented Home Arrested; Accomplices Also Nabbed,balen,Ratopati,2026-07-17 05:15:23+00:00,0.1435,latin,news
"Nepal protests have a new Gen Z face, this time in anti-Balen Shah govt camp",balen,The Indian Express,2026-07-17 01:15:00+00:00,0.1098,latin,news
Prime Minister Balen Shah Engages in Discussions with Business Community,balen,Ratopati,2026-07-17 01:15:00+00:00,0.1411,latin,news
"Nepal MP calls PM Balen Shah ""Nepali Hitler"" while objecting to his working style",balen,ANI News,2026-07-16 01:15:00+00:00,0.0994,latin,news
Face-to-face with Balen on Facebook,balen,Nepali Times,2026-07-16 01:15:00+00:00,0.0994,latin,news
Why Nepal’s Gen Z is turning against Prime Minister Balen Shah,balen,Business Standard,2026-07-16 01:15:00+00:00,0.0994,latin,news
ANNFSU stages protest demanding PM Balen Shah’s resignation,balen,Khabarhub,2026-07-15 01:15:00+00:00,0.0901,latin,news
Why do Nepal's Zen-Jira want the downfall of Balen Shah?,balen,The Business Standard,2026-07-14 12:44:23+00:00,0.0855,latin,news
PM Balen Shah under pressure as Gen Z is back protesting in Nepal,balen,The Federal,2026-07-14 06:33:49+00:00,0.0834,latin,news
Cracks begin to appear in RSP as leaders question Balen’s approach,balen,Khabarhub,2026-07-14 01:15:00+00:00,0.0816,latin,news
Remove your shades Balen Shah: Gen Z protesters return to Nepal streets,balen,India Today,2026-07-14 01:15:00+00:00,0.0816,latin,news
Gen Z-backed Nepal PM Balen Shah faces protests as youth dies after setting himself on fire,balen,Moneycontrol.com,2026-07-14 01:15:00+00:00,0.0816,latin,news
What’s fuelling Gen Z’s anger against millennial leader Balen Shah in Nepal?,balen,Firstpost,2026-07-13 01:15:00+00:00,0.0739,latin,news
From Gen Z Icon To Target: Why Balen Shah-Led Nepal Govt Is Facing Youth Backlash,balen,NDTV Profit,2026-07-13 01:15:00+00:00,0.0739,latin,news
Video | PoK White House Protests | Racist Jan 6 Rioter Attacked | Nepal's Gen-Z vs Balen Shah,balen,NDTV,2026-07-13 01:15:00+00:00,0.0739,latin,news
"Why Gen Z protestors, who helped make Balen Shah Nepal PM, now want him to resign | WION Decodes",balen,WION,2026-07-13 01:15:00+00:00,0.0739,latin,news
Nepal’s Balen government under Gen Z attack after young man sets self on fire,balen,The Indian Express,2026-07-13 01:15:00+00:00,0.0739,latin,news
Is Balen Shah building a new governance culture or creating new uncertainties?,balen,Khabarhub,2026-07-13 01:15:00+00:00,0.0739,latin,news
Video | Nepal Protests | Why Nepal Gen-Z Is Protesting Against Balen Shah Government,balen,NDTV,2026-07-13 01:15:00+00:00,0.0739,latin,news
"Self-immolation, evictions and public anger: Why Nepal’s Gen-Z is turning against Balen Shah",balen,Moneycontrol.com,2026-07-13 01:15:00+00:00,0.0739,latin,news
Balen Shah Government Under Fire As Gen-Z Protests Erupt After Driver’s Self-Immolation Death,balen,News18,2026-07-13 01:15:00+00:00,0.0739,latin,news
Video | Kathmandu Protests: Has Balen Shah Lost The Trust Of Nepal's Gen-Z Youth?,balen,NDTV,2026-07-13 01:15:00+00:00,0.0739,latin,news
Durga Prasai claims Balen Shah-led government will not last until Dashain,balen,Khabarhub,2026-07-12 06:39:44+00:00,0.0684,latin,news
बालेन सरकारविरुद्ध माइतीघरमा प्रदर्शन,balen,Hamro Patro,2026-07-12 01:15:00+00:00,0.0669,deva,news
"PM Balen, RSP chair Rabi Lamichhane hold four-hour meeting",balen,Khabarhub,2026-07-12 01:15:00+00:00,0.0669,latin,news
"Rehabilitation row, self-immolations: Nepal's Balen Shah govt faces Gen Z anger",balen,India Today,2026-07-12 01:15:00+00:00,0.0669,latin,news
Anger grows over unemployment; calls grow for Balen Shah's resignation,balen,Bhaskar English,2026-07-11 01:15:00+00:00,0.0606,latin,news
Nepal's Balen Shah-led govt faces criticism after 25-year-old bike rider self-immolates; probe committee formed,balen,ANI News,2026-07-10 01:15:00+00:00,0.0549,latin,news
RPP lawmaker blames PM Balen Shah over Ganesh Nepali’s death,balen,Khabarhub,2026-07-10 01:15:00+00:00,0.0549,latin,news
RSP statute: Has the alarm bell rung for Balen?,balen,Khabarhub,2026-07-09 01:15:00+00:00,0.0497,latin,news
PM Balen Shah holds first meeting with private sector on economic reforms,balen,Khabarhub,2026-07-08 01:15:00+00:00,0.045,latin,news
Prime Minister Balen Shah calls Cabinet meeting,balen,Khabarhub,2026-07-08 01:15:00+00:00,0.045,latin,news
Balen Shah’s first 100 days: Did Nepal’s government deliver on its promises?,balen,The Indian Express,2026-07-08 01:15:00+00:00,0.045,latin,news
Balen Shah meets ADB President Masato Kanda,balen,Khabarhub,2026-07-07 01:15:00+00:00,0.0408,latin,news
Prime Minister Balen Shah Meets Asian Development Bank President Masato Kanda,balen,Ratopati,2026-07-07 01:15:00+00:00,0.0524,latin,news
Nepal Prime Minister Balen Shah hits his hundred day milestone,balen,ucanews.com,2026-07-06 13:34:34+00:00,0.0389,latin,news
The digital pulse and the structural fracture: 100 days of Balen government in healthsector,balen,OnlineKhabar English News,2026-07-06 01:15:00+00:00,0.0528,latin,news
कोशीका मुख्यमन्त्री कार्की र एमाले अध्यक्ष ओलीबिच वान टु वान छलफल,kp oli,ratopati,2026-08-04 10:24:05+00:00,0.8712,deva,news
CPN-UML Report on Party Reorganization Submitted to Chairman KP Sharma Oli,kp oli,Ratopati,2026-08-04 05:31:37+00:00,0.8539,latin,news
Oli's Harsh Words Lead to Leader's Collapse During Bagmati Government Talks,kp oli,Ratopati,2026-08-04 03:56:37+00:00,0.8483,latin,news
"After being summoned by Oli, Koshi Chief Minister Karki heading to Kathmandu",kp oli,Ekantipur,2026-08-04 01:48:13+00:00,0.654,latin,news
KP Sharma Oli Summons Koshi Chief Minister Hikmat Karki and Two Other Leaders to Kathmandu,kp oli,Ratopati,2026-08-03 22:17:48+00:00,0.8288,latin,news
Is Oli stirring fresh turmoil within CPN-UML?,kp oli,Khabarhub,2026-08-03 19:54:18+00:00,0.6383,latin,news
Oli and Prachanda's Surprise Political Alliance Continues,kp oli,Ratopati,2026-08-03 12:31:52+00:00,0.796,latin,news
Oli summons UML Bagmati lawmakers to Gundu as Chief Minister race hits deadlock,kp oli,Khabarhub,2026-08-03 07:09:14+00:00,0.6056,latin,news
Oli and Prachanda direct prompt govt formation in Sudurpashchim with Bhatta at helm,kp oli,Nepalnews.com,2026-08-02 21:21:59+00:00,0.5816,latin,news
Oli moves to replace Hikmat Karki as Koshi Chief Minister,kp oli,Nepalnews.com,2026-08-02 02:20:28+00:00,0.5377,latin,news
KP Sharma Oli Urges Continuation of Kisan Andolan Legacy,kp oli,Ratopati,2026-08-01 21:51:10+00:00,0.6786,latin,news
UML Chair Oli appeals for calm and social harmony amid violent clashes,kp oli,Nepalnews.com,2026-07-30 06:38:43+00:00,0.4067,latin,news
"UML Chair Oli calls for dialogue, consensus amid rising Madhesh tensions",kp oli,myRepublica,2026-07-30 06:26:36+00:00,0.4063,latin,news
UML Chair Oli calls for national unity and peace,kp oli,Khabarhub,2026-07-30 06:22:33+00:00,0.4062,latin,news
Oli and Sampang Absent from All-Party Meeting on Sunsari Incident,kp oli,Ratopati,2026-07-28 21:28:38+00:00,0.456,latin,news
Oli-Dahal provincial pact triggers backlash from within,kp oli,The Kathmandu Post,2026-07-27 08:43:56+00:00,0.3048,latin,news
How long will the Oli–Prachanda alliance last?,kp oli,Khabarhub,2026-07-27 07:06:46+00:00,0.3027,latin,news
UML leaders to meet Oli amid internal discontent over NCP power-sharing deal,kp oli,Khabarhub,2026-07-27 05:06:46+00:00,0.3002,latin,news
Oli and Prachanda sign power-sharing pact for provincial governments,kp oli,Nepalnews.com,2026-07-25 01:15:00+00:00,0.2424,latin,news
"KP Sharma Oli Claims UML United, Criticizes Nepali Congress Internal Strife",kp oli,Ratopati,2026-07-23 07:23:42+00:00,0.2622,latin,news
UML Chair Oli slams “old vs. new” narrative; claims current state suppression worse than Panchayat era,kp oli,Nepalnews.com,2026-07-23 01:15:00+00:00,0.1989,latin,news
Oli accuses government of being ‘more repressive than the Rana regime’,kp oli,Khabarhub,2026-07-23 01:15:00+00:00,0.1989,latin,news
KP Sharma Oli: Communist and Democratic Cooperation is Basis for Change,kp oli,Ratopati,2026-07-23 01:15:00+00:00,0.2557,latin,news
NC’s rejection of three-party provincial govt puts Oli and Prachanda under pressure,kp oli,Khabarhub,2026-07-23 01:15:00+00:00,0.1989,latin,news
Oli and Prachanda Realign Amidst Political Shifts,kp oli,Ratopati,2026-07-22 07:32:50+00:00,0.2377,latin,news
Oli’s credibility questioned as NC-NCP explore new provincial alliances,kp oli,Khabarhub,2026-07-22 01:15:00+00:00,0.1801,latin,news
"Prachanda, Oli begin separate consultations on provincial power-sharing",kp oli,Khabarhub,2026-07-22 01:15:00+00:00,0.1801,latin,news
Health of CPN-UML Chairman KP Sharma Oli Stable After Hospitalization,kp oli,Ratopati,2026-07-20 20:11:57+00:00,0.2054,latin,news
"KP Sharma Oli Addresses Madan Bhandari's 75th Birth Anniversary, Criticizes Regression and Balen Shah's Statement",kp oli,Ratopati,2026-07-20 14:36:16+00:00,0.2007,latin,news
Supreme Court Dismisses Petition Against Former PM Oli's Oath Controversy,kp oli,Ratopati,2026-07-20 13:14:22+00:00,0.1996,latin,news
CPN (UML) Chairman KP Sharma Oli States Nepal's Politics is Directionless,kp oli,Ratopati,2026-07-19 03:33:46+00:00,0.1737,latin,news
Government built on ‘legacy of violence and vandalism’: KP Oli,kp oli,Nepalnews.com,2026-07-19 01:15:00+00:00,0.1338,latin,news
UML is not a force that can't rise up without disturbing anyone: Oli,kp oli,Ekantipur,2026-07-18 00:58:05+00:00,0.1211,latin,news
K P Sharma Oli Faces Minority in Secretariat; Gagan Thapa Calls for Unity; Judiciary Shadowed by Government; Congress Questions Court Order; Corruption Suspected in Refreshment Center Project; Trade Data Released; JSP Nepal Reviews Election Defea,kp oli,Ratopati,2026-07-17 19:24:22+00:00,0.1521,latin,news
UML Chair Oli accuses government of pushing Nepal toward fascism,kp oli,Nepalnews.com,2026-07-17 01:15:00+00:00,0.1098,latin,news
CPN UML Chairman KP Sharma Oli Addresses Party's Website and App Launch,kp oli,Ratopati,2026-07-17 01:15:00+00:00,0.1411,latin,news
CPN-UML Chairman Oli Accuses Government of Inciting Anarchy and Violating Laws,kp oli,Ratopati,2026-07-17 01:15:00+00:00,0.1411,latin,news
Oli accuses Balendra Shah-led government of spreading misinformation against UML,kp oli,Khabarhub,2026-07-17 01:15:00+00:00,0.1098,latin,news
UML survey finds little support for Oli’s continued leadership,kp oli,The Kathmandu Post,2026-07-10 01:15:00+00:00,0.0549,latin,news
KP Oli demands correction to NHRC report on Gen Z protests,kp oli,Nepalnews.com,2026-07-09 01:15:00+00:00,0.0497,latin,news
Gagan Thapa urges govt. to build trust with private sector to boost digital economy,gagan thapa,Khabarhub,2026-08-02 09:08:29+00:00,0.553,latin,news
Gagan Kumar Thapa says politics should serve people,gagan thapa,Khabarhub,2026-08-01 06:38:58+00:00,0.4957,latin,news
"PM Shah, Gagan Thapa pay tribute as Broad Peak tragedy claims Nimsdai and nine other climbers",gagan thapa,The Tourism Times,2026-08-01 06:04:00+00:00,0.4945,latin,news
"Politics should not be treated merely as a tool for power, says Gagan Thapa",gagan thapa,Nepalnews.com,2026-08-01 02:20:08+00:00,0.487,latin,news
Gagan Thapa Stresses Compassion and Empathy in Leadership,gagan thapa,Ratopati,2026-08-01 01:54:11+00:00,0.625,latin,news
