text,candidate
👍👍👍👍👍👍👍👍👍👍,KP Oli
❤️❤️,KP Oli
"Bro huge respect to you keep it up, we are with you❤️",KP Oli
100%,KP Oli
Boost this video,KP Oli
Daaa boost garum sabai ma puram yo video Yo kp lai aba chodnu hunaa 😔😔😔🥺🥺,KP Oli
Yes really is a murder,KP Oli
Emale congress ra kp oli sakeko din yo desh banx,KP Oli
Maile  oli lai dm ma pathaue hai uo video.,KP Oli
ओलि लाई जेल हुनुपर्छ,KP Oli
🥺🥺🥺🥺🥺,KP Oli
Share this on platforms. Please....,KP Oli
Please lets share this post as much as possible. We shall never forget and KP oli must rot in jail as soon as new government is formed. RIP to all the martyrs.,KP Oli
thank you for making people aware and not letting it forget 🙏,KP Oli
Is this the only video in this topic 😔😕🤔,KP Oli
oli#😅papi,KP Oli
"Not just KP Oli, Keep exposing Prachande, Shere and Oli until they cry to the death like Aftaf Alam. SAY NO TO OLI. MAKE THEM REMEMBER BHADRA 23 EVERY SECONDS OF THEIR LIFE",KP Oli
How can a true Nepalese vote for him now?? Absolutely disheartening to see our brothers murdered like this.<br>KP oli is a murderer,KP Oli
"Naramro rw weak point ko responsibility kailey lina nokhjney ani katai road, bridge banyo vanii hamiley hoo kp oli ley gareko hoo vanxan. Kasto hypocrisy hoo jholey haru koo?",KP Oli
👍,KP Oli
चुपचाप घण्टीमा छाप। यो पालि घण्टीलाई बहुमत।,KP Oli
Fuck damn KP oli,KP Oli
hoina goli haneko kp le ho ki police le?,KP Oli
..,KP Oli
cfbr,KP Oli
Yeti derai annaya 😢😢😢,KP Oli
hatyaara budo,KP Oli
...,KP Oli
Aago,KP Oli
Ramesh lekh lai pani fasi,KP Oli
Hattyra kp oli lai fasi hos,KP Oli
Ist true 😢,KP Oli
Dai you have to see that post what kp oli post today he said that i did not give permission to shots people or he is doing just politics. I request that make a video about that post which kp oli  post  pinned comment please,KP Oli
"<a href=""http://www.youtube.com/results?search_query=%23ripkpoli"">#ripkpoli</a><br>pinda khau aba desh ko khusi khojne khusi hunchan",KP Oli
Hasya kalakar,KP Oli
Tero bau le deko vaye ta ramro kam garthis hola aafai ra janta le gareko vayera desh bigareko chor ho,KP Oli
Chup.   Mota.   KPO li potty,KP Oli
Jholey randikochora,KP Oli
तेरो बाउ अमेरिकाले देको भन्न खुलेर सक्छस भने। वाइयात देश्द्रोर्ही  अमेरिकन-इन्डियन बिर्य...,KP Oli
Vision ta rakhnu parxa natra kasaiko Kam xain,KP Oli
Natak ta khatara Garxa yo jyas le sala hatyara,KP Oli
Yo msg kahile marxa 🤔,KP Oli
Aani nepali ko lage k  garne vayo kp ba vanu ta kura ta ramro  thik garnu vayo tara nepali ko lage k garnu vayo,KP Oli
Ho but tero buddhi aayean kahile ni,KP Oli
He still thinks he&#39;s fucking selling it. What a load of crap,KP Oli
Neta jasto nabol  Hai abo Pradhan mantri  hoinas ni aba ta suhaaudaina yesari bolna,KP Oli
Ho pahile 99% janata uneducated thiye ABA aaja ko din ma Sara janata educated vaisake vanne kuro chal pauda paudai Pani timi le educated nepali upper tyahi purano natak munchan garna ko tito parinam ho yo.,KP Oli
"जति नै देवत्वकरण  गर झोले पत्रुकार , जनताले चिनिसकेको छ। योहत्यारा केपी ओलीलाई",KP Oli
Ser bhadur le k Sochne hola video herera 😅,KP Oli
Just one words from all NEPALESE - बिशेस Gen- Z बाटा  : थुक्का.  😂. त्यति 😊,KP Oli
यो अन्तरवार्तम लिने पत्रुकार ओलि दाहिने गेडा हो,KP Oli
kp oli chor ho,KP Oli
Yo budo ko kura sunara  basnee hami ra tyo prasna sodhna manxe gadha ho..,KP Oli
Kukurko muuttt,KP Oli
Ho  mula taila pani janata  lai  thagais ani aila ayara,KP Oli
Flash him nonsense,KP Oli
"Talai kasle chai vote diyo kya PM huna bhanera. Achamma cha. Kati sajilo cha hai blam game khelna, hijo sabai ghuspetiya lyaune main patra timi nai ho buda ba.",KP Oli
"machikney jantako naam linchhas muji. k garis deshko lagi,, sigapoore, UAE  kasto banaye leader ley dekhekai holas",KP Oli
Return huna paryo pheri🎉,KP Oli
Right but you only fullfil your hunger oli baula budo,KP Oli
Jun din bachcha mariyo tyo din ko aadhesh pm kp oliko thiyn aadhesh grihako thiyo girihamantri le rajinama dihi sakeka thiy Ani deshlai kharabau kharab ko xeti puryaune gari kin tod fod ra aaglagi gariyo yasko jabaf ahileko sarkarle dinu prx,KP Oli
"Dear Ex PM KP Sharma Oli .. Your poor decision making has killed about 70 innocent young Nepali citizens, more than 1000 People injured and lost government properties of billions  NRS. Always respect human being and their requirement. Please accept your irresponsible actions and Surrender to Government for punishment. Say extremely sorry to Nepali citizens especially parents of innocent children who lost their lives due to your dictatorship attitude as a Prime Minister. You will be remembered as a murderer of innocent children..",KP Oli
पहिलो कुरो मिडिया झोले छ दोस्रो <br>हेया म मेरो आमा को कसम खएर भन्छु<br>इनि हरु हामिलाइ पागल बनाउदै छ 😡😡,KP Oli
"सेप्टेम्बर ८/९ मा नेपाली जनताले बगाएको रगत, आँसु र बलिदान अझै पनि यो भूमिको नसा–नसामा धड्किरहेको छ। अर्को दिनको तिम्रो राजिनामा इतिहासको सबैभन्दा कायर क्षणका रूपमा दर्ज भएको छ। देशलाई गलत बाटोमा धकेल्ने, प्रणालीलाई विष बनाउने, अनि जनताको विश्वासलाई बेच्ने तिमी जस्ता नेताप्रति मेरो होइन, सम्पूर्ण नेपालीको भावना  शून्य सम्मान र असीमित घृणा मात्र हो !!आजको पुस्ताले तिमीलाई नेता होइन, अपराधीको रूपमा सम्झनेछ। आज प्रत्येक नेपाली नागरिक तिमीलाई घृणा गर्छ, ओली। इतिहासले क्षमा गर्दैन !!!",KP Oli
बच्चालाइ गडिले ठक्कर दिदा सामान्य हो भन्ने त कुन जनताको सम्बोधन गर्दैछस?,KP Oli
Yo kahile ko video hooo hummm 🤔🧐🧐,KP Oli
Chup chor maku ri,KP Oli
Are aapko to yah Janata Jo Ajanta bahut badi galti kiye hue Hain Magar kya kijiega Janata jisko Janardan kaha jata Hai yah ulta samajh ke aapko paper se hata Diya bahut Ham logon se yad kar,KP Oli
यो पुरानो भिडियो हो यो <br>यस्ले बोले जस्तो अहिले गरेको भयेत देश काहा बाट काहा पुगिसक्थ्यो,KP Oli
Tapai neta haina pandit huna parne manchhe ho mero sujhab tapai lai,KP Oli
Bro this video makimhim inosent,KP Oli
Fasaiyo purai,KP Oli
Actor भन्दा बढी talent बूढो,KP Oli
Balla buddhi aaye jasto cha buda ko ..maya lagyo nauro aajuhar delhda,KP Oli
Teso ho vane swiss bank ma vayeko nepal janata ko niji sampati sabhai firta lyaijaa . Sakchas ?,KP Oli
Chor ta kp ba tapai saral vasama,KP Oli
Kp daka xito niski hadae Sama ko karbai hununparx yeslai,KP Oli
yo kukur lai janta le hoina hoina yesko bharaute jhole harule deko ho yo jasto nirghini manxe xaina nepali itihaash maa. tero dosh hoina talai upachar garni tyo khatte doctor bhete bhane poila tyo marxa,KP Oli
Chor ahile aayer nirdosh  😡😡😡,KP Oli
Vitra auta kura garo bahira arko kura,KP Oli
Aayo pheri fakauna muji,KP Oli
Tw chor lai des bata nikalnu parxa,KP Oli
"Thukka yoh Manche aajai freely move gareko chaa, tetro students maarera Pani, Janata KO laaghi kahile kaam garayoh yesle,",KP Oli
Hage  paxi doilo dekheraw k garnu!,KP Oli
😢😢,KP Oli
"के गरीस जनता का निम्ति??? भ्रष्ट लाई संरक्षण गर्दै, जनता लाई गोली को नाल बाट तर्साऊदै तेरो रानिति बचाईस खप्रे??? अब जनता लाई  पार्टी भन्दै दोषारोपण गरेर सुरक्षित रहुंला भनेर बक्वास नबोल। चेतना भएन? पश्चाताप छैन??? अझै आर्मी प्रयोग गर्दै थिईस् जनता मार्न। अपराधि, दम्भि शासक लाई यो देश मा बस्न छुट दिनै हुन्न।😡😡",KP Oli
Salute✊✊✊✊✊,KP Oli
त मुला को गोही को आँशु<br> जनताको तलाई १% पनि माया भको भए आज यो अवस्था आउने नै थिएन। <br>आतंककारी होस तँ ।,KP Oli
Full interview kata x,KP Oli
Full video link plz... makeup ali badhi vayexa..,KP Oli
😢,KP Oli
नापीस् बूढ़ा,KP Oli
Where can I get full interview ?,KP Oli
पहिला बाट प्रस्ट बन्नु पर्थ्यो कार्यकर्ता लाई सहि शिक्षा दिनु पर्थ्यो एउटा जिम्मेवार दल को लिडर भएसी ढिलो भयो सबै कुरा तपाईं सहि भएनि समय ले गलत प्रमाणित गरि सक्यो,KP Oli
"Astisamma teenager jasto provocative sentence haru bhannu, bhrasta ra criminal lai save garne, desh ko sensitive time ma pani majak garera jokes garera udaune, desh ko lagi k gareu ???? Ukhane buda, afno khamba lai dosh nadeu, self judge gara aru lai. Dori ma Timro hinai nai gatilo bhayena, khamba lai dosh. Nachna najanne aagan tedo 🤔",KP Oli
muji hatyara hos mahesh bansnet jasta balatkari ko snangarchays ho pu lic  m aayer delha randi ko baan,KP Oli
Where is the full video,KP Oli
केपी बा गलत हैन उहाँलाई समय र परिस्थितिले गलत बनायो।केपी बा ले नेपालको लागि कति गर्नु भएको छ कति कुरा घुमाउनु भएको छ पुरै हिस्ट्री चेक गर अनि नराम्रो भन केपी बा लाई।भिडेहरु कुरै नबुझी भ्रष्टाचारीहरुको पछि लागेर को राम्रो को नराम्रो छुटाउनै सकेनौं।आफ्नै देशलाई खरानी बनाइस झोलेहरु।केपी बा ले पनि गरे होलान कुनै गलत काम तर तहरुले जस्तो आफ्नो देश कहिले जालाएनन् बुझिस् नी पापीहरु। एउटा कुरा याद राख जति केपी ओलीलाई गलत भन्छौ नी तिमीहरू त्यो भन्दा गिरेको छौ।हाम्रो देशको सार्वजनिक भवनहरू भत्काउन तिमीहरुलाई कसले आधिकार दियो?सिंह दरबार किन जलाएउ त्यो तिमीहरुको आफ्नो सम्पत्ति थिएन हामी सबैको हो।यो देशको शान मान थियो राजा नभएनी राजाहरूको इतिहासले भरिएको हाम्रो सिंह दरबार जलाउने आधिकार तहरुसंग थिएन।आन्दोलन गरेउ देश बनाउन भनेर तर सबै खरानी बनाइदिएउ किन?घरबाट देशको विकास गर्ने भनेर निस्कियौ तर सबै विनाश गरेर फर्कियौं किन?आन्दोलनको नाम मा कति लुटपाट गरेउ सुन पसलहरु फोडेर लुटेउ साना देखि ठूला ठूला मार्केटहरु लुटेउ अनि नेताहरुले भ्रष्टाचार गर्यो भनेर किन गुनासो गर्छौ? तिमीहरूले पनि त पाएउ भने त छोरदैन रैछौ नी अनि नेता चाहिँ किन असल खोज्छौ?,KP Oli
"नेपाली भेडा जस्ता जनतालाई भर्खरै मान्छे नै मारेर आएको व्यक्तिले दुई थोपा आँसु झार्दै मात्र पनि “लु, तैले माफ पाइस” भन्ने खालका देखिन्छन्। यति अशिक्षित र गोबर-ग्वार्चे भए पनि के राम्रो र के नराम्रो छुट्याउन नसक्ने भए नेपालीहरू। झन् यो दस–पन्ध्र वर्षको अवधिमा जब प्रचण्डे र उसका छौराहरूले देशको विद्या–लय नष्ट पारेर राखे, नेपालीहरू भेडाबाट गधा भइसके जस्तो देखिन्छ।<br><br>ए भगवान्, अलिकति बुद्धि देऊ नेपालीहरूलाई, ताकि उनीहरूले के सही र के गलत छुट्याउन सकून्। भावनामा बगेर होइन, विवेक प्रयोग गरेर निर्णय गर्न सकून्।😢😢😢",KP Oli
Kalakaar ho yo aanek janechha.,KP Oli
Full video Kun channel ma xa ??,KP Oli
गधा हो यो। manuplate garxa jatho,KP Oli
युगले जन्माएको  राजनेता <br>हजुरको महत्त्व धेरै छ नेपाल देश लाई <br>केही जमात ले गाली होहल्ला  गर्दैमा केही फरक  पर्दैन  आफ्नो देशको अस्तित्व जोगाउन सक्ने  ल्याकत भएको  देश र जनताको  अंगरक्षक  हुनुहुन्छ   ❤️🙏🙏,KP Oli
Be strong kB baa❤,KP Oli
अपुतो कति आमाको कोख रित्यस राडिको छोरो,KP Oli
😢😢😢aasu aayo,KP Oli
Kuri kuri  😅😅😅😅😅😅😅,KP Oli
उखान ले सबै को मन जित्न खोज्छ 😡,KP Oli
Yo mula interview line ni eskai jhole jastoxa. Background music emotional rakhera pida dekha hola jatha,KP Oli
Gen z ko najarma Pani tapai harule gareko  Bhrastachar ati laaj lagdo thyo Gen x Gen Y ta tapai haruka jhole bhaera hide Tara innocent Gen z pusta Le bidroh gare Tara Janata ta sab masu Ra raksima bike Ani innocent bachha harule bidroh gare hai kp ba Bhrastachari harulai karbahi garera harek kand lai ramro sang suljhyaunu bhaeko bhae tapai ramro manchhe ho Tara tapaiko ghamand chulieko thyo janat bhitra ko hunu Gen z Hun Jo sab hamro pratek gharma chhan abo kaslai ghuspet bhanne hamra nani baby haruko najarma Pani tapai haru Dosi thaharainu bho uni harule tatkalin sarkar bata kehi asha dekhenan nirash bhae bhabisya andhakar dekhe Bhrastachar Le desh dubeko dekhe bethiti Le desh Khai sakeko dekhe Ani school dress ma bidroha gare tapai ramro imandar manchhe desh lai Maya garne manchhe ho Tara tapaile sabai Bhrastachariharulai support garnu bho Bhrastachar Le desh dubeko dekhnu bhaena Khali uni harulo pransasa garnu bho tyai bhaera tapai yo desh ko pm huna deserve garnu hunna abo,KP Oli
Chup mug 19-20 Jana bachha mareko harami,KP Oli
"Jantale biswas matrai ta garyo NE ani aafule tyo biswas ma ubhinu parena desma kei Vikas garnu parena,",KP Oli
Ali Badi aham vo ki,KP Oli
Dherii aama kakah reteyoo kati ko sapana tuiyoo affu no le gareko galti lai lukauna lai ghoheko aashu najar aaja tye amma ko aakha maan mutu roi rako chha.. ani putaraka jo lai aanya vako ushlai interview le mula yesta narpechass ko anuhar media ma naleee,KP Oli
Sala hatyara bharstachari ajai thula kura gardaixas daka,KP Oli
Khate,KP Oli
Full video kaha chha yesko,KP Oli
Janta haina jholeko nimti matraii vayeo k😂😂😂,KP Oli
"Yo chikne aaghai mareko xaina ,, papi",KP Oli
"अपुतोले सोमबार नै मेरो कोही छैन भनेर........,मङ्गलबार भाग्यो",KP Oli
नेता भयर पनि जनता सङ्ग जान नसक्नु मुख्री कमजोरी भयो घमन्ड बढ्यो।,KP Oli
"यो देश बरबाद बनाऊने  चुतिया नेता लाई  जेल चलान गर्नु  पर्छ,",KP Oli
Machikney tetro mero sathi vai lai maris ta mugi lai kahiley ramro hunna,KP Oli
Yo full interview kata xa ?,KP Oli
Cmt ma chada bolne  bolna najanne ani neta chai sahi khojne ..veda lai rest in peace😂😂😂rest in peace ❤jaba janata surdinam taba samma desh bandainw😢😢😢jaya Shree Ram ❤❤❤,KP Oli
प्रस्त देखिन्छ हजुरको आखामा कति छतपताहत छ भन्ने देशको यो अवस्था हुदा😥😥always salute you respected great leader❤❤,KP Oli
😢😢😢😢😢,KP Oli
Aaja ta muji ko bolai nai fark x ta,KP Oli
Radiko xoraa,KP Oli
always support you kp baa❤,KP Oli
तपाइले गल्ति अथ भस्टचार  गर्नुभो त म भन्न सक्दिन तर पनि गल्ति भस्टचार गर्ने लाइ सम्रक्षण गर्नुभएको ले आज यो दिन आएको भने पक्कै हो है ।,KP Oli
"हो त्यही भएर मन्त्रीले गाडी ठोक्दा नी यस्तो सानो तीनों कुरा हो र मान्छे मार्ने आदेश दिएको मानव जाती , धरती, जनताको पक्षमा भएर खुब कुरा घुमाउँछ झापाली को बेजती",KP Oli
गल्ती त मरीगय मन्दैन बै राणा बान ले,KP Oli
😅😅,KP Oli
"Marera khaldo ma purni bhaneko holani,,sampati lai....",KP Oli
Gadda ramro ho,KP Oli
kura ta sahi ho,KP Oli
यो केपी चोरकाे सम्पूर्ण सम्पति जफत गरेर😮 आजीवनजेलमा हाल्नुपर्छ। स्कुलले बच्चारको हत्या गर्ने हत्यारा,KP Oli
यह बडि अछ्छी बात है😁😁😁🤣😃😀,KP Oli
Galat vaneko raina xa,KP Oli
Ta bhagyamani hos tesaile tolai khalto mai purnu parxa😅,KP Oli
"Ko ho asti galti bolne yar xya,<br>Gadnu agadi paila tukra tukra parera katney, tyas paxi gadne honi yar, ko ho sedai gadne vanne,",KP Oli
"आफै लाई सोध न मैले जनता ले चाहे अनुसारको काम गरेको रहेछु या गरेको रहेन छु भनेर , आफ्ना भरौटे हरुलाइ पोस्ने बाहेक ,देश र जनता को हकमा के गरेउ?अझै बुझ पचायेर पानी माथी ओभानो हुने प्रयास गर्दैछौ,जनता अब लाटा छैनन् ।",KP Oli
"KP woli gold Hun tesaile KP lai aagole polnu ,katkut garnuparcha",KP Oli
Aaba vote magne Sympathetic tarike <br>Na sakenevayo Ba lai,KP Oli
Thik vanecha,KP Oli
Tero jastai raixa mansaya jasto aaphu testai chapu,KP Oli
बच्चामा हुने गुण 80 बर्ष सम्म हुदा पनि नगएको रुन्चे स्वभाव भन्न सकिन्छ ।😂😂,KP Oli
Ho sahi vaneko ho chor aparadhi gadnu parxa hadi rakhera ab aaune bachanlai dekhaunu parxa,KP Oli
Raamro hota chhito gaadaam,KP Oli
"<a href=""http://www.youtube.com/results?search_query=%23ripkpoli"">#ripkpoli</a><br>tmi mara desh ko pragati huncha",KP Oli
"Tetro manxey lai marne ani thulo Kura garne,tero ghar ta hola ni teta basnu ni milxa, tara uniharu ko jindagi firta auxa,thak",KP Oli
तेरो काम हो यो बालेन ले भनेको हो तर तैले जलायर बालेन को बदनाम फर्दैछस,KP Oli
Tapai pm hunuhunthyo<br>Dos mayor lai matra lagaune<br>Mayor thulo ki  Pm?,KP Oli
Ho ho ho haina vanna sakidina paisa ma bigyo sabai,KP Oli
Sanka haina 100% ho,KP Oli
76 jana bacha kasle maryo,KP Oli
Yo narapisach kahileanxe na banne ho tyo shihadarbar tero aakado pat lulupta bhayera jogauna lai goli kanda machais ani bholipalt terai karya karta lagayera jalauna lagais ani naya lai laxit bhashan gardaixas ni daka...,KP Oli
Shala Apute marchhas ta Mero Haat Baata,KP Oli
"कम्निष्ट त पिसाच नै हो क्या ! यिनको झट्केलो बाउ स्टालिनले २ करोड , ठुलो बाउ माओले ७ करोड मारेको जानकारी छ ! गरिवको नाउमा कम्निष्ट ब्राण्ड को दोकान हो यिनको। कन्मिष्ट लाई सपोर्ट गर्नु भन्दा आफैले हगेको गू खाए हुन्छ।",KP Oli
Oi!! Ta mujai lai jaghani aapradha gareko chhu. Bhane pachatap bhako chhain. Tuka mujai ta rawan rahe chha. Paapi maha paai hos..,KP Oli
Tero Karan le jaleko ho muji,KP Oli
❤❤❤,KP Oli
Kp oli le jalako ho,KP Oli
chor darii nabol chup lag,KP Oli
Yasto mansiktako kahile sudharne bala xaina.yas lay jaldi smatanu parx,KP Oli
Yo ajhai bacheko xa?? desh ko kulangar,KP Oli
देश लाई माया गर्ने ले देशवासी माथी बन्दूक को गोली चलाऊंछ त,KP Oli
This incident occurred due to corrupted autocratic leaders.,KP Oli
ए काका जहिले तिम्रा बुद्धि धुन्धुकारीकाे मात्रै आउँछ हैन??? अझ हामीले गलत गरेछाै भन्ने त हाेईन। 40.50 बर्ष देखि देश दाेहन गरेर खाएर पुगेन ??? फेरि पनि उहीँ दिमाग चलाकाे छ।,KP Oli
"याे भनाईलाई सहयाेग गर्ने आधार १, पहिल्यै देखि भनेकाे २, आगाे लाग्दा बारुणयन्त्र नपठाउनु , ३, यतिका बिध्वंश पश्चात् पनि कुनै बक्तब्य नआउनु ।",KP Oli
Taile goli chaplain adesh kin diis pahila asfule ramro gareko talai anuvuti X ukhan tikka garer ramra manchhe lai parti ma karbai garis ab feri jurmuran lagis talait Kalo koktharima Bana garnu parthyo abhibekti din kachhas,KP Oli
chor haru Le Garda ho,KP Oli
"यत्रो युवाहरुलाई माय्रो तं लाई चिन्ता छैन, सिंहदरवार जलाउदा फेरी अर्को बनाउन सकिन्छ। तेरो बाउ मर्दा अर्को बाउ बानाउन सकिन्छ,?",KP Oli
Ki timi aafaile ho ki balen le ho.tesma pani timi parti nai badi sanka lagxa.aru lai dos lagauxa fokat ma aafaile jalayera.ta aafaile ho ghuspet gareko vaye.janata le ta aandolan gardai thiye sarkar ko birudda ma.,KP Oli
"नेपाली दाजुभाइ तथा दिदीबहिनीहरूमा हार्दिक अपिल (Heartfelt Appeal to Nepalese Brothers and Sisters)<br>विषय: अबको भोट देश बनाउनेलाई, अबको भोट &#39;घण्टी&#39; लाई।<br><br>आदरणीय नेपाली बुबाआमा, दाजुभाइ तथा दिदीबहिनीहरू,<br><br>आज म एउटा सचेत नागरिकको हैसियतले, मुटुमा देश दुखेको पीडा र आँखामा भविष्यको सपना बोकेर तपाईंसँग दुई शब्द राख्न चाहन्छु। हामीले वर्षौंदेखि राजनीतिलाई केवल भाषण र आश्वासनमा सीमित देख्यौं। तर आज देश एउटा यस्तो मोडमा उभिएको छ, जहाँ हाम्रो एउटा निर्णयले हाम्रा सन्ततिको भविष्य कोर्नेछ वा फेरि उही पुरानो अन्धकारमा धकेल्नेछ।<br><br>हामीले के बिर्सने? त्यो भदौ २३ को पीडा? इतिहास साक्षी छ, हामी पटक-पटक झुक्किएका छौं। पुराना दल र तिनका नेताहरूले सत्ताको लागि जे पनि गरे। भदौ २३ को त्यो कहालीलाग्दो घटना र निर्दोष जनताको पीडालाई आज सत्ताको खुड्किलो चढ्दा कसरी बिर्सन मिल्छ? हिजो जसको नेतृत्वमा जनताले आँसु र रगत बगाउनुपर्यो, आज चुनाव आउँदा तिनै नेताहरू सामाजिक सञ्जालमा भ्रम छरेर फेरि &quot;मसीहा&quot; बन्न खोज्दैछन्। केपी ओली जस्ता पुराना नेताहरूले हिजोका गल्ती स्वीकार गरेको नाटक गर्नु वा नयाँ जाल फ्याँक्नु भनेको फेरि हामीलाई फसाउनु मात्र हो। के हामी फेरि उही नियति भोग्न तयार छौं? के हामी फेरि हाम्रा दाजुभाइको रगतको अवमूल्यन हुन दिने?<br><br>होइन! अब हामी सचेत भइसक्यौं। उनीहरूले हिजो जे गरे, मौका पाए भने भोलि पनि त्यही दोहोर्याउन सक्छन्। शक्तिमा टिकिराख्न उनीहरूले जस्तै हथकण्डा पनि अपनाउन सक्छन्। त्यसैले, अब उनीहरूको गोहीको आँसु र गुलिया भाषणमा नफसौं।<br><br>बालेनले काठमाण्डौंमा बालेको आशाको दियो तपाईं-हामी सबैले देखेकै छौं, काठमाण्डौंमा बालेन शाहले कसरी काम गरेर देखाए। वर्षौंसम्म फोहर र बेथितिले गाजिएको शहरलाई एउटा व्यक्तिले इच्छाशक्ति भयो भने कसरी बदल्न सक्छ भन्ने उदाहरण उहाँले पेश गर्नुभएको छ। बालेन एक्लैले त यति गर्न सके भने, यदि रवि लामिछाने र राष्ट्रिय स्वतन्त्र पार्टी (घण्टी) ले संसदमा स्पष्ट बहुमत पाए भने देशको मुहार कति छिटो फेरिएला?<br><br>बालेनको भिजन र रविको आँट—यी दुवै एउटै सिक्काका दुई पाटा हुन्। यी नयाँ पुस्ताका नेताहरूलाई काम गर्न &quot;पावर&quot; र &quot;समय&quot; चाहिन्छ। बालेनले एक्लै लड्दा कति अवरोध सहनुपर्यो, त्यो हामीले देखेकै छौं। त्यसैले अबको संसदमा रवि लामिछानेको टिमलाई, &#39;घण्टी&#39; लाई बहुमत दिएर पठाऔं, ताकि उनीहरूले कसैको दबाबमा नपरी स्वतन्त्र रूपमा देश बनाउन सकून्।<br><br>यो अन्तिम मौका हो पुराना दलहरूले हामीलाई पटक-पटक धोका दिए। अब पनि हामीले &quot;फेरि एकपटक&quot; भन्दै उनीहरूलाई नै भोट हाल्यौं भने, देश बन्ने सपना सधैंको लागि मर्नेछ। यो चुनाव मात्र एउटा भोट खसाल्ने दिन होइन, यो असल र खराब, सत्य र भ्रम, अनि विकास र विनाश बीचको लडाइँ हो।<br><br>देश बनाउने जिम्मा अब हाम्रो काँधमा छ। आउनुहोस्, यसपालि जात, धर्म, र पुरानो झण्डा बिर्सेर, केवल देशको लागि, हाम्रा छोराछोरीको भविष्यको लागि &#39;घण्टी&#39; मा भोट हालौं। पुरानाले देश सिध्याउन लागिसके, अब नयाँलाई देश बनाउने मौका दिऔं।<br><br>सचेत बनौं, संगठित बनौं, र देश बचाऔं। जय नेपाल!",KP Oli
"Hahahahaha, Oli! You fled in a helicopter because of the protests and your weak leadership. Now you’re living a thug life, surrounded by your gang of thugs in Gundu.",KP Oli
बिचरा,KP Oli
केही नजान्ने बालेन?जो बिज्ञ छन।जय बालेन।मधुरो बोलीले भनिसक्यो।,KP Oli
यो नालायक भ्रष्टाचारी बोलेको लाज सरम भन्ने छाईना र छ नि,KP Oli
सकिन्न बुढा संगगफ गर्नमा😀,KP Oli
Yaslai fari YouTube ma dhekhanu parana Mero durvaghaya 😅,KP Oli
Mero k he bigareko xaena butponi kina ho kina maloi yo manxe kati mn pardainw <br>Hamro des khatam paryo yo mujile,KP Oli
"धरहरा कसले बनायो, होला।।",KP Oli
"अपराधि बूढो ,राम्रो  गरेको भयपो राम्रो  भन्छन् त , राम्रोकाम नर्नु छैन जनतालाइ नराम्रो  भन्न कसरी सकेको होला , बोल्न पनि कति जानेको",KP Oli
केपी शर्मा ओली ज्यू नमस्कार तपाईको जित पक्का छ❤ निर्धक्क बन्नुहोस्,KP Oli
"तिमी के,पि, भाइ अपरनधी भनुकी  साच्चो सत्य ब्यक्ती भनु  मलाई काउकुती लाग्यो  बाई के,पि भाइ 😅😂🙏🌽🙋‍♀️😯",KP Oli
"रविले फसाको हैन बालेन अाफैले हिम्मत गरेका हुन, हारेपनि जितेपनि अाँट गर्नु ठूलो कुरा हो। अाफै हार्ने डरले उमेदवारी झिक्दिए हुन्थ्यो भन्ने मनसायले जनतालाई रनभुल्ल पार्दै छन अझै। हारेपनि बालेनले भिडनैपर्छ, ल है झापाली जनता सचेत भएर अाफ्नो मताधिकार प्रयोग गर्नुहोला🙏",KP Oli
याे के पि जस्ताे दृष्टि बिहिन् मान्छे अरुु काे हालार उल्लाई मईले एसाे गराे भने एस्काे परि नाम ठिक् हन्छ या बे ठिक् हुन्छ केही था छैन उल्लाई सबै एमाले हुनुपराे सबैकाे आँखा पट्टि बाँधे पनि वा के पि बा भन्नू पर्ने एसताे दुसात् बाेकेकाे मान्छे हाे।,KP Oli
ओलि बेकुफ ले केही गरेको छैनस सिरफ तुक्के गधाहा होस!,KP Oli
सरमगर बुढा तेरो हार देख्छस,KP Oli
Biks ksrihunx to balen sang siknu prxa,KP Oli
Kp back out,KP Oli
Kep chorho phathaho,KP Oli
"केपि ओलि सपना देख्ने र त्यसलाइ मुर्तता दिनसक्ने भिजनरी नेता त थिए तर देशलाइ सुसासन दिने भन्दा जसरी पनि सत्तामा टासिइरहने ३ दलिय मौसमी गठबन्धनले भ्रस्टाचार, बेतिथि र सुचनाको दुरुपयोग दुरुत्साहन को कारण किशोरहरुको आन्दोलनमा अर्को शक्ति हाबि भएर आयो तर पनि देशले स्थायी राजनितिक परिवर्तन खोजेको छ्।",KP Oli
Bahumat  hoena  50 set jitera dekhau,KP Oli
🐕🐕🐕🐕🐕🐷🐷🐷🐷🐨🐨🐨🐨🐨🐨☝️☝️☝️☝️☝️☝️☝️🐨☝️,KP Oli
Jaya ghanty,KP Oli
"Esko pattasaf hunxa,yo ghamandi ho,bikas gareko aafai dawa garxan.Samaya anusar hune bikas Pani aafaile garxa.",KP Oli
Ggalt bakmfuse ukhane chutiyakurogarekochhi budo vayra lajsarmpanichhina ystakokurokasariptuyayka,KP Oli
Xi,KP Oli
रहर ले लहर ले हाेईना  बिकाश लाई हेर्नू  परयाे,KP Oli
Kura sunda😂😮😅,KP Oli
Ta salakukur l,KP Oli
Kukur kuKP chor aputtri Sala ku,KP Oli
KP chor aputtri Sala murdabad,KP Oli
Kukur Sala aputtri KP chor,KP Oli
Jai ghanti Jai rabi jindabad,KP Oli
Kp chor aputtri Sala murdabad,KP Oli
